id,orf1,orf2,orf3
MH218722,4-5404,5387-7025,7024-7672
MH218721,4-5404,5387-7025,7024-7672
MH218720,4-5371,5354-6995,6994-7630
MH218719,4-5098,5078-6722,6721-7498
MH218718,4-5104,5084-6707,6706-7513
MH218717,4-5104,5084-6731,6730-7495
MH218716,4-5104,5084-6707,6706-7513
MH218715,4-5104,5084-6707,6706-7513
MH218714,4-5104,5084-6707,6706-7513
MH218713,4-5104,5084-6707,6706-7513
MH218712,4-5104,5084-6731,6730-7495
MH218711,4-5104,5084-6707,6706-7513
MH218710,4-5104,5084-6707,6706-7513
MH218709,4-5104,5084-6707,6706-7513
MH218708,4-5104,5084-6707,6706-7513
MH218707,4-5104,5084-6707,6706-7513
MH218706,4-5104,5084-6707,6706-7513
MH218705,4-5104,5084-6707,6706-7513
MH218704,4-5104,5084-6707,6706-7513
MH218703,4-5104,5084-6707,6706-7513
MH218702,4-5104,5084-6707,6706-7513
MH218701,4-5104,5084-6707,6706-7513
MH218700,4-5104,5084-6707,6706-7513
MH218699,4-5104,5084-6707,6706-7513
MH218698,4-5104,5084-6707,6706-7513
MH218697,4-5104,5084-6713,6712-7492
MH218696,4-5104,5084-6731,6730-7495
MH218695,4-5104,5084-6707,6706-7513
MH218694,4-5104,5084-6707,6706-7513
MH218693,4-5104,5084-6731,6730-7495
MH218692,4-5098,5078-6701,6700-7474
MH218691,4-5104,5084-6707,6706-7513
MH218690,4-5104,5084-6731,6730-7495
MH218689,4-5113,5093-6716,6715-7495
MH218688,4-5104,5084-6731,6730-7495
MH218687,4-5098,5078-6722,6721-7498
MH218686,4-5104,5084-6731,6730-7495
MH218685,4-5104,5084-6707,6706-7513
MH218684,4-5104,5084-6707,6706-7513
MH218683,4-5104,5084-6731,6730-7495
MH218682,4-5104,5084-6731,6730-7495
MH218681,4-5104,5084-6731,6730-7495
MH218680,4-5104,5084-6731,6730-7495
MH218679,4-5104,5084-6731,6730-7495
MH218678,4-5104,5084-6731,6730-7495
MH218677,4-5104,5084-6731,6730-7495
MH218676,4-5104,5084-6731,6730-7495
MH218675,4-5104,5084-6731,6730-7495
MH218674,4-5104,5084-6707,6706-7513
MH218673,4-5098,5078-6722,6721-7498
MH218672,4-5104,5084-6731,6730-7495
MH218671,4-5104,5084-6731,6730-7495
MH218670,4-5104,5084-6707,6706-7513
MH218669,4-5104,5084-6707,6706-7513
MH218668,4-5104,5084-6731,6730-7495
MH218667,4-5098,5078-6722,6721-7498
MH218666,4-5098,5078-6722,6721-7498
MH218665,4-5104,5084-6707,6706-7513
MH218664,4-5404,5387-7025,7024-7672
MH218663,4-5104,5084-6707,6706-7513
MH218662,4-5104,5084-6707,6706-7513
MH218661,4-5098,5078-6701,6700-7474
MH218660,4-5104,5084-6731,6730-7495
MH218659,4-5404,5387-7025,7024-7672
MH218658,4-5098,5078-6701,6700-7474
MH218657,4-5104,5084-6713,6712-7492
MH218656,4-5371,5354-6995,6994-7630
MH218655,4-5104,5084-6713,6712-7492
MH218654,4-5104,5084-6731,6730-7495
MH218653,4-5104,5084-6731,6730-7495
MH218652,4-5104,5084-6707,6706-7513
MH218651,4-5104,5084-6713,6712-7444
MH218650,4-5098,5078-6722,6721-7498
MH218649,4-5371,5354-6995,6994-7630
MH218648,4-5104,5084-6713,6712-7492
MH218647,4-5404,5387-7025,7024-7672
MH218646,4-5104,5084-6731,6730-7495
MH218645,4-5098,5078-6722,6721-7498
MH218644,4-5098,5078-6722,6721-7498
MH218643,4-5098,5078-6722,6721-7498
MH218642,4-5098,5078-6722,6721-7498
MH218641,4-5098,5078-6722,6721-7498
MH218640,4-5098,5078-6722,6721-7498
MH218639,4-5098,5078-6722,6721-7498
MH218638,4-5104,5084-6707,6706-7513
MH218637,4-5104,5084-6707,6706-7513
MH218636,4-5104,5084-6707,6706-7513
MH218635,4-5104,5084-6707,6706-7513
MH218634,4-5104,5084-6707,6706-7513
MH218633,4-5104,5084-6707,6706-7513
MH218632,4-5104,5084-6707,6706-7513
MH218631,4-5104,5084-6707,6706-7513
MH218630,4-5104,5084-6731,6730-7495
MH218629,4-5104,5084-6707,6706-7513
MH218628,4-5104,5084-6707,6706-7513
MH218627,4-5104,5084-6707,6706-7513
MH218626,4-5104,5084-6707,6706-7513
MH218625,4-5104,5084-6707,6706-7513
MH218624,4-5104,5084-6707,6706-7513
MH218623,4-5104,5084-6707,6706-7513
MH218622,4-5104,5084-6707,6706-7513
MH218621,4-5104,5084-6707,6706-7513
MH218620,4-5104,5084-6707,6706-7513
MH218619,4-5104,5084-6707,6706-7513
MH218618,4-5104,5084-6731,6730-7495
MH218617,4-5104,5084-6707,6706-7513
MH218616,4-5104,5084-6707,6706-7513
MH218615,4-5104,5084-6707,6706-7513
MH218614,4-5104,5084-6707,6706-7513
MH218613,4-5104,5084-6707,6706-7513
MH218612,4-5104,5084-6707,6706-7513
MH218611,4-5104,5084-6707,6706-7513
MH218610,4-5104,5084-6707,6706-7513
MH218609,4-5104,5084-6707,6706-7513
MH218608,4-5104,5084-6707,6706-7513
MH218607,4-5104,5084-6707,6706-7513
MH218606,4-5104,5084-6707,6706-7513
MH218605,4-5104,5084-6707,6706-7513
MH218604,4-5104,5084-6731,6730-7495
MH218603,4-5104,5084-6731,6730-7495
MH218602,4-5104,5084-6731,6730-7495
MH218601,4-5104,5084-6731,6730-7495
MH218600,4-5104,5084-6731,6730-7495
MH218599,4-5104,5084-6731,6730-7495
MH218598,4-5104,5084-6731,6730-7495
MH218597,4-5104,5084-6731,6730-7495
MH218596,4-5104,5084-6731,6730-7495
MH218595,4-5104,5084-6731,6730-7495
MH218594,4-5104,5084-6731,6730-7495
MH218593,4-5104,5084-6731,6730-7495
MH218592,4-5104,5084-6731,6730-7495
MH218591,4-5101,5081-6704,6703-7480
MH218590,4-5104,5084-6731,6730-7495
MH218589,4-5104,5084-6731,6730-7495
MH218588,4-5104,5084-6731,6730-7495
MH218587,4-5104,5084-6731,6730-7495
MH218586,4-5104,5084-6731,6730-7495
MH218585,4-5104,5084-6731,6730-7495
MH218584,4-5104,5084-6731,6730-7495
MH218583,4-5104,5084-6731,6730-7495
MH218582,4-5104,5084-6731,6730-7495
MH218581,4-5104,5084-6731,6730-7495
MH218580,4-5104,5084-6731,6730-7495
MH218579,4-5104,5084-6731,6730-7495
MH218578,4-5104,5084-6731,6730-7495
MH218577,4-5104,5084-6731,6730-7495
MH218576,4-5104,5084-6731,6730-7495
MH218575,4-5104,5084-6731,6730-7495
MH218574,4-5104,5084-6731,6730-7495
MH218573,4-5104,5084-6731,6730-7495
MH218572,4-5104,5084-6731,6730-7495
MH218571,4-5104,5084-6731,6730-7495
MH218570,4-5104,5084-6731,6730-7495
MH413070,2-5102,5082-6705,6704-7511
MH413069,2-5099,5079-6702,6701-7508
MF352143,90-5073,5053-6682,6681-7446
MG572732,90-5073,5053-6682,6681-7446
MG572731,90-5073,5053-6682,6681-7446
MG572730,90-5073,5053-6682,6681-7446
MG572719,90-5073,5053-6682,6681-7446
MF352144,90-5073,5053-6682,6681-7446
MF352142,90-5073,5053-6682,6681-7446
MF373609,38-4907,4890-6492,6488-7268
MF416380,5-5069,5055-6681,6680-7307
MF067043,5-5069,5055-6681,6680-7307
KY424350,2-5078,5058-6681,6680-7460
KY424349,2-5078,5058-6681,6680-7460
KY424348,2-5060,5043-6687,6686-7466
KY424347,2-5063,5043-6687,6686-7466
KY424346,2-5060,5043-6687,6686-7466
KY424345,2-5063,5043-6687,6686-7466
KY424344,2-5060,5040-6684,6683-7460
KY424343,2-5060,5040-6684,6683-7460
KY424342,2-5060,5040-6684,6683-7460
KY424341,2-5060,5040-6684,6683-7460
KY424340,2-5069,5049-6669,6668-7475
KY424339,2-5069,5049-6669,6668-7475
KY424338,2-5069,5049-6669,6668-7475
KY424337,2-5069,5049-6669,6668-7475
KY424336,2-5069,5049-6669,6668-7475
KY424335,2-5069,5049-6669,6668-7475
KY424334,2-5069,5049-6669,6668-7475
KY424333,2-5069,5049-6669,6668-7475
KY424332,2-5069,5049-6669,6668-7475
KY424331,2-5069,5049-6672,6671-7478
KY424330,2-5069,5049-6672,6671-7478
KY424329,2-5069,5049-6672,6671-7478
KY424328,2-5069,5049-6672,6671-7478
MG572716,1-5284,5267-6935,6934-7732
MG572715,1-5284,5267-6935,6934-7732
MG572714,10-5290,5273-6968,6967-7633
MH130046,94-5404,5387-7028,7027-7678
MG746045,4-5104,5084-6713,6712-7492
MG746044,4-5104,5084-6713,6712-7492
MG746043,4-5104,5084-6713,6712-7492
MG746042,4-5104,5084-6713,6712-7492
MG746041,4-5104,5084-6713,6712-7492
MG746040,4-5104,5084-6713,6712-7492
MG746039,4-5104,5084-6713,6712-7492
MG746038,4-5104,5084-6713,6712-7492
MG746037,4-5104,5084-6713,6712-7492
MG746036,4-5104,5084-6713,6712-7492
MG746035,4-5104,5084-6713,6712-7492
MG746034,4-5104,5084-6713,6712-7492
MG746033,4-5104,5084-6713,6712-7492
MG746032,4-5104,5084-6713,6712-7492
MG746031,4-5104,5084-6713,6712-7492
MG746030,4-5104,5084-6713,6712-7492
MG746029,4-5104,5084-6713,6712-7492
MG746028,4-5104,5084-6713,6712-7492
MG746027,4-5104,5084-6713,6712-7492
MG746026,4-5104,5084-6713,6712-7492
MG746025,4-5104,5084-6713,6712-7492
MG746024,4-5104,5084-6713,6712-7492
MG746023,4-5104,5084-6713,6712-7492
MG746022,4-5104,5084-6713,6712-7492
MG746021,4-5104,5084-6713,6712-7492
MG746020,4-5104,5084-6713,6712-7492
MG746019,4-5104,5084-6713,6712-7492
MG746018,4-5104,5084-6713,6712-7492
MG746017,4-5104,5084-6713,6712-7492
MG746016,4-5104,5084-6713,6712-7492
MG746015,4-5104,5084-6713,6712-7492
MG746014,4-5104,5084-6713,6712-7492
MG746013,4-5104,5084-6713,6712-7492
MG746012,4-5104,5084-6713,6712-7492
MG746011,4-5104,5084-6713,6712-7492
MG746010,4-5104,5084-6713,6712-7492
MG746009,4-5104,5084-6713,6712-7492
MG746008,4-5104,5084-6713,6712-7492
MG746007,4-5104,5084-6713,6712-7492
MG746006,4-5104,5084-6713,6712-7492
MG746005,4-5104,5084-6713,6712-7492
MG746004,4-5104,5084-6713,6712-7492
MG746003,4-5104,5084-6713,6712-7492
MG746002,4-5104,5084-6713,6712-7492
MG746001,4-5104,5084-6713,6712-7492
MG746000,4-5104,5084-6713,6712-7492
MG745999,4-5104,5084-6713,6712-7492
MG745998,4-5104,5084-6713,6712-7492
MG745997,4-5104,5084-6713,6712-7492
MG745996,4-5104,5084-6713,6712-7492
MG745995,4-5104,5084-6713,6712-7492
MG745994,4-5104,5084-6713,6712-7492
MG745993,4-5104,5084-6713,6712-7492
MG745992,4-5104,5084-6713,6712-7492
MG745991,4-5104,5084-6713,6712-7492
MG745990,4-5104,5084-6713,6712-7492
MG745989,4-5104,5084-6713,6712-7492
MG745988,4-5104,5084-6713,6712-7492
MG745987,4-5104,5084-6713,6712-7492
MG745986,4-5104,5084-6713,6712-7492
MG745985,4-5104,5084-6713,6712-7492
MG706448,4-5095,5075-6704,6703-7468
MG599789,2-5309,5292-6933,6932-7541
KR232647,0-4875,4855-6487,6486-7251
MG572182,4-5104,5084-6692,6691-7471
MG495081,2-4868,4848-6477,6476-7241
MG495080,1-5044,5024-6656,6655-7393
MG495079,0-4866,4846-6475,6474-7224
MG495078,0-4869,4849-6481,6480-7236
MG495077,0-4875,4855-6487,6486-7251
KY225989,1-4870,4850-6479,6478-7213
KU306738,0-4875,4855-6484,6483-7233
LC145808,0-5094,5074-6703,6702-7482
LC145807,0-5094,5074-6703,6702-7482
LC145806,0-5094,5074-6703,6702-7482
LC145805,0-5094,5074-6703,6702-7482
LC145804,0-5094,5074-6703,6702-7482
LC145803,0-5094,5074-6703,6702-7482
LC145802,0-5094,5074-6703,6702-7482
LC145801,0-5094,5074-6703,6702-7482
LC145800,0-5094,5074-6703,6702-7482
LC145799,0-5094,5074-6703,6702-7482
LC145798,0-5094,5074-6703,6702-7482
LC145797,0-5094,5074-6703,6702-7482
LC145796,0-5094,5074-6703,6702-7482
LC145795,0-5094,5074-6703,6702-7482
LC145794,0-5094,5074-6703,6702-7482
LC145793,0-5094,5074-6703,6702-7482
LC145792,0-5094,5074-6703,6702-7482
LC145791,0-5094,5074-6703,6702-7482
LC145790,0-5094,5074-6703,6702-7482
LC145789,0-5094,5074-6703,6702-7482
LC145788,0-5094,5074-6703,6702-7482
LC145787,0-5097,5077-6706,6705-7485
LC145786,0-5094,5074-6703,6702-7482
LC228948,0-5076,5056-6685,6684-7464
MG551869,0-4884,4864-6496,6495-7260
MG495085,0-4863,4843-6472,6471-7203
MG495084,2-4868,4848-6477,6476-7241
MG495083,1-4861,4841-6467,6466-7198
MG495082,0-4806,4786-6412,6411-7137	
LC209481,4-5101,5081-6710,6709-7489
LC209480,4-5101,5081-6710,6709-7489
LC209479,2-5093,5073-6702,6701-7481
LC209478,2-5090,5070-6699,6698-7478
LC209477,1-5083,5063-6692,6691-7471
LC209476,2-5084,5064-6693,6692-7472
LC209475,1-5083,5063-6692,6691-7471
LC209474,1-5089,5069-6698,6697-7477
LC209473,2-5090,5070-6699,6698-7478
LC209472,1-5092,5072-6701,6700-7480
LC209471,2-5087,5067-6696,6695-7475
LC209470,1-5092,5072-6701,6700-7480
LC209469,2-5093,5073-6702,6701-7481
LC209467,4-5101,5081-6710,6709-7489
LC209466,0-5088,5068-6697,6696-7476
LC209465,2-5093,5073-6702,6701-7481
LC209464,2-5099,5079-6708,6707-7487
LC209463,4-5104,5084-6713,6712-7492
LC209462,2-5090,5070-6699,6698-7478
LC209461,0-5088,5068-6697,6696-7476
LC209460,2-5096,5076-6705,6704-7484
LC209459,1-5092,5072-6701,6700-7480
LC209458,0-5088,5068-6697,6696-7476
LC209457,1-5089,5069-6698,6697-7477
LC209456,1-5083,5063-6692,6691-7471
LC209455,0-5088,5068-6697,6696-7476
LC209454,0-5088,5068-6697,6696-7476
LC209453,2-5087,5067-6696,6695-7475
LC209452,1-5089,5069-6698,6697-7477
LC209451,2-5087,5067-6696,6695-7475
LC209450,0-5088,5068-6697,6696-7476
LC209449,4-5101,5081-6710,6709-7489
LC209448,2-5084,5064-6693,6692-7472
LC209447,1-5089,5069-6698,6697-7477
LC209446,0-5085,5065-6694,6693-7473
LC209445,4-5098,5078-6707,6706-7486
LC209444,0-5088,5068-6697,6696-7476
LC209443,0-5088,5068-6697,6696-7476
LC209442,0-5088,5068-6697,6696-7476
LC209441,0-5085,5065-6694,6693-7473
LC209440,2-5090,5070-6699,6698-7478
LC209439,4-5104,5084-6713,6712-7492
LC209438,1-5098,5078-6707,6706-7486
LC209437,0-5094,5074-6703,6702-7482
LC209436,0-5094,5074-6703,6702-7482
LC209435,2-5099,5079-6708,6707-7487
LC209434,1-5083,5063-6692,6691-7471
LC209433,1-5092,5072-6701,6700-7480
LC209432,1-5083,5063-6692,6691-7471
LC209431,1-5086,5066-6695,6694-7474
MF326938,0-5034,5020-6646,6645-7272
KY421039,0-5004,4984-6607,6606-7413
MF973199,5-5066,5052-6681,6680-7307
MG214988,4-5104,5084-6707,6706-7513
MG002631,0-5082,5062-6685,6684-7491
MG002634,5-5099,5079-6702,6701-7508
MG002633,0-5082,5062-6685,6684-7491
MG002632,5-5099,5079-6702,6701-7508
MG002630,1-5083,5063-6686,6685-7492
MG049693,0-5358,5341-6976,6975-7602
MG049692,0-5100,5080-6703,6702-7509
MF140697,2-5090,5070-6693,6692-7499
MF140696,0-5088,5068-6691,6690-7497
MF140695,0-5088,5068-6691,6690-7497
MF140694,2-5090,5070-6693,6692-7499
MF140693,0-5088,5068-6691,6690-7497
MF140692,1-5083,5063-6686,6685-7486
MF140691,1-5083,5063-6686,6685-7492
MF140690,0-5088,5068-6691,6690-7497
MF140689,0-5088,5068-6718,6717-7479
MF140688,0-5088,5068-6718,6717-7479
MF140687,0-5088,5068-6718,6717-7479
MF140686,0-5088,5068-6718,6717-7479
MF140685,1-5083,5063-6713,6712-7474
MF140684,1-5083,5063-6713,6712-7474
MF140683,0-5082,5062-6685,6684-7491
MF140682,0-5082,5062-6685,6684-7491
MF140681,0-5082,5062-6685,6684-7491
MF140680,2-5063,5043-6696,6695-7472
MF140679,2-5063,5043-6687,6686-7463
MF140678,2-5063,5043-6687,6686-7463
MF140677,2-5063,5043-6687,6686-7463
MF140676,2-5063,5043-6687,6686-7463
MF140675,1-5077,5057-6680,6679-7483
MF140674,1-5080,5060-6683,6682-7483
MF140673,0-5085,5065-6688,6687-7494
MF140672,1-5080,5060-6683,6682-7426
MF140671,1-5080,5060-6683,6682-7489
MF140670,1-5089,5069-6692,6691-7453
MF140669,0-5088,5068-6691,6690-7497
MF140668,0-5088,5068-6688,6687-7497
MF140667,0-5088,5068-6688,6687-7497
MF140666,1-5068,5048-6668,6667-7477
MF140665,0-5088,5068-6688,6687-7497
MF140664,0-5085,5065-6685,6684-7494
MF140663,0-5085,5065-6688,6687-7494
MF140662,0-5088,5068-6691,6690-7497
MF140661,0-5088,5068-6691,6690-7493
MF140660,2-5093,5073-6696,6695-7493
MF140659,0-5088,5068-6691,6690-7491
MF140658,1-5083,5063-6686,6685-7486
MF140657,0-5088,5068-6691,6690-7497
MF140656,0-5088,5068-6691,6690-7492
MF140655,0-5091,5071-6694,6693-7500
MF140654,1-5083,5063-6686,6685-7492
MF140653,0-5085,5065-6688,6687-7494
MF140652,0-5088,5068-6691,6690-7497
MF140651,2-5090,5070-6693,6692-7499
MF140650,2-5090,5070-6693,6692-7499
MF140649,1-5083,5063-6686,6685-7492
MF140648,2-5084,5064-6687,6686-7460
MF140647,1-5080,5060-6683,6682-7456
MF140646,1-5077,5057-6680,6679-7438
MF140645,1-5080,5060-6683,6682-7456
MF140644,0-5088,5068-6691,6690-7497
MF140643,2-5033,5013-6636,6635-7442
MF140642,2-4931,4911-6534,6533-7283
MF140641,2-5087,5067-6690,6689-7496
MF140640,0-5085,5065-6688,6687-7485
MF140639,0-5064,5044-6667,6666-7467
MF140638,2-5087,5067-6690,6689-7496
MF140637,2-5090,5070-6693,6692-7496
MF140636,2-4925,4905-6528,6527-7334
MF140635,0-5088,5068-6688,6687-7488
MF140634,0-5088,5068-6688,6687-7488
MF140633,0-5085,5065-6688,6687-7494
KY496328,1-4879,4859-6491,6490-7255
MF918359,9-5112,5092-6715,6714-7494
MF167652,0-5100,5080-6709,6708-7488
MF167651,0-5100,5080-6709,6708-7488
MF167650,0-5100,5080-6709,6708-7488
MF668937,0-5091,5071-6679,6678-7446
KY905338,2-5099,5079-6708,6707-7487
KY905337,2-5099,5079-6708,6707-7487
KY905336,2-5099,5079-6708,6707-7487
KY905335,0-5076,5056-6679,6678-7485
KY905334,1-5068,5048-6695,6694-7459
KY905333,0-5055,5035-6658,6657-7464
KY905332,0-5103,5083-6700,6699-7479
KY905331,5-5105,5085-6708,6707-7508
KY905330,2-5084,5064-6687,6686-7466
MF405169,4-5104,5084-6713,6712-7492
KY442320,4-5110,5090-6737,6736-7501
KY442319,4-5110,5090-6737,6736-7501
KU561249,3-5106,5086-6709,6708-7488
KU561248,3-5106,5086-6709,6708-7488
KY348698,4-5104,5084-6731,6730-7495
KY348697,1-5098,5078-6725,6724-7489
KY887606,1-5098,5078-6725,6724-7489
KY887605,1-5083,5063-6686,6685-7492
KY887604,1-5083,5063-6686,6685-7492
KY887603,1-5083,5063-6686,6685-7492
KY887602,1-5083,5063-6686,6685-7492
KY887601,2-5099,5079-6702,6701-7508
KY887600,2-5099,5079-6702,6701-7508
KY887599,1-5083,5063-6686,6685-7492
KY887598,1-5083,5063-6710,6709-7474
KY887597,1-5098,5078-6725,6724-7489
KU743153,5-5069,5055-6681,6680-7247
KU743152,5-5069,5055-6681,6680-7247
KY421122,4-5104,5084-6713,6712-7492
KY421121,4-5104,5084-6713,6712-7492
KX586330,0-5100,5080-6703,6702-7509
KY771081,4-5104,5084-6713,6712-7492
KY947550,4-5104,5084-6707,6706-7513
KY947549,3-5103,5083-6706,6705-7512
KY947548,3-5100,5080-6709,6708-7440
KY947547,3-5103,5083-6706,6705-7512
KY947546,3-5103,5083-6706,6705-7512
KY865307,2-5102,5082-6711,6710-7490
KY865306,4-5104,5084-6713,6712-7492
KY496327,4-5104,5084-6707,6706-7513
KY009908,5-5069,5055-6675,6680-7307
KY934262,4-5404,5387-7025,7024-7672
LC133344,0-5064,5044-6667,6666-7473
KY392868,2-5000,4980-6603,6602-7319
KY392867,1-5053,5033-6656,6655-7396
AB985442,2-5081,5061-6681,6680-7487
AB985437,2-5081,5061-6681,6680-7487
KX158281,124-5086,5066-6710,6709-7513
KX158280,85-5092,5072-6695,6694-7501
KX158279,0-5094,5074-6697,6696-7503
KP784698,4-5104,5084-6707,6706-7513
KP784697,4-5104,5084-6707,6706-7513
KP784696,4-5104,5084-6707,6706-7513
KP784695,4-5104,5084-6707,6706-7513
KP784694,4-5104,5084-6707,6706-7513
KP784693,4-5104,5084-6707,6706-7513
KP784692,4-5104,5084-6707,6706-7513
KP784691,4-5104,5084-6707,6706-7513
KX907728,3-5061,5041-6706,6705-7419
LC175468,4-5104,5084-6707,6706-7513
KX907731,4-5398,5381-7034,7033-7681
KX907730,3-5400,5383-7000,6999-7647
KX907729,4-5398,5381-7001,7000-7648
KX907727,5-5105,5085-6708,6707-7514
KU935739,4-5098,5078-6722,6721-7498
KU870455,4-5098,5078-6731,6730-7510
KU757052,4-5107,5087-6710,6709-7489
KU757051,4-5107,5087-6710,6709-7489
KU757050,4-5107,5087-6710,6709-7489
KU757049,4-5107,5087-6710,6709-7489
KU757048,4-5107,5087-6704,6703-7483
KU757047,4-5107,5087-6704,6703-7483
KU757046,4-5107,5087-6704,6703-7483
AB665364,1-5086,5066-6689,6688-7495
KX396056,65-5375,5358-6990,6989-7637
KU557790,4-5107,5093-6710,6709-7489
KU557788,4-5107,5093-6704,6703-7483
KU557787,4-5107,5093-6710,6709-7417
KU557786,4-5107,5093-6710,6709-7417
KU557785,4-5107,5093-6710,6709-7489
KU557784,4-5107,5093-6710,6709-7489
KU557783,4-5107,5093-6710,6709-7489
DQ078814,4-5104,5084-6707,6706-7513
EU482058,1-4795,4781-6407,6406-7033
HQ169542,4-5098,5078-6722,6721-7498
GU930737,1-5062,5042-6689,6688-7465
EF670650,2-4928,4908-6519,6518-7313
AY126474,21-5076,5062-6631,6422-7271
EF202568,2-5078,5058-6681,6680-7358
EF202567,1-4972,4952-6575,6574-7294
KX356908,4-5113,5093-6716,6715-7495
KX079488,4-5104,5084-6707,6706-7465
KR349276,5-5069,5055-6681,6680-7307
KU561256,4-5113,5093-6716,6715-7495
KU561255,4-5113,5093-6716,6715-7495
KU561253,4-5113,5093-6716,6715-7495
KU561252,4-5113,5093-6716,6715-7495
KU561251,4-5113,5093-6710,6709-7489
KU561250,4-5113,5093-6710,6709-7489
KU561254,4-5113,5093-6716,6715-7495
AJ011099,21-5064,5050-6610,6599-7271
KU311160,1-5128,5108-6731,6730-7507
KP407450,4-5404,5387-7019,7018-7660
KT780416,0-5106,5086-6709,6708-7488
KT780415,0-5106,5086-6709,6708-7488
KT780414,0-5106,5086-6709,6708-7488
KT780413,0-5106,5086-6709,6708-7488
KT780412,0-5106,5086-6709,6708-7488
KT780411,0-5106,5086-6709,6708-7488
KT780410,0-5106,5086-6709,6708-7488
KT780409,0-5106,5086-6709,6708-7488
KT780408,0-5106,5086-6709,6708-7488
KT780407,0-5106,5086-6709,6708-7488
KT780406,0-5106,5086-6709,6708-7488
KT780405,0-5106,5086-6709,6708-7488
KT780404,0-5106,5086-6709,6708-7488
KT780403,0-5106,5086-6709,6708-7488
KT780402,0-5106,5086-6709,6708-7488
KT780401,0-5106,5086-6709,6708-7488
KT780400,0-5106,5086-6709,6708-7488
KT780399,0-5106,5086-6709,6708-7488
KT780398,0-5106,5086-6709,6708-7488
KT780397,0-5106,5086-6709,6708-7488
KT780396,0-5106,5086-6709,6708-7488
KT780395,0-5106,5086-6709,6708-7488
KT780394,0-5106,5086-6709,6708-7488
KT326182,1-5053,5033-6656,6655-7435
KT326181,1-5065,5045-6668,6667-7447
KT326180,2-5054,5034-6657,6656-7436
KP998539,4-5113,5093-6716,6715-7495
AB972505,0-5100,5080-6703,6702-7509
AB972504,0-5100,5080-6703,6702-7509
AB972503,0-5100,5080-6703,6702-7509
AB972502,0-5100,5080-6703,6702-7509
AB972501,0-5100,5080-6703,6702-7509
AB972500,0-5100,5080-6703,6702-7509
AB972499,0-5100,5080-6703,6702-7509
AB972498,0-5100,5080-6703,6702-7509
AB972497,0-5100,5080-6703,6702-7509
AB972496,0-5100,5080-6703,6702-7509
AB972495,0-5100,5080-6703,6702-7509
AB972494,0-5100,5080-6703,6702-7509
AB972493,0-5100,5080-6703,6702-7509
AB972492,0-5100,5080-6703,6702-7509
AB972491,0-5100,5080-6703,6702-7509
AB972490,0-5100,5080-6703,6702-7509
AB972489,0-5100,5080-6703,6702-7509
AB972488,0-5100,5080-6703,6702-7509
AB972487,0-5100,5080-6703,6702-7509
AB972486,0-5100,5080-6703,6702-7509
AB972485,0-5100,5080-6703,6702-7509
AB972484,0-5100,5080-6703,6702-7509
AB972483,0-5100,5080-6703,6702-7509
AB972482,0-5100,5080-6703,6702-7509
AB972481,0-5100,5080-6703,6702-7509
AB972480,0-5100,5080-6703,6702-7509
AB972479,0-5100,5080-6703,6702-7509
AB972478,0-5100,5080-6703,6702-7509
AB972477,0-5067,5047-6670,6669-7476
AB972476,0-5100,5080-6703,6702-7509
AB972475,0-5100,5080-6703,6702-7509
AB972474,0-5100,5080-6703,6702-7509
AB972473,0-5100,5080-6703,6702-7509
AB972472,0-5043,5023-6646,6645-7452
AB972471,0-5100,5080-6703,6702-7509
AB972470,0-5100,5080-6703,6702-7509
AB972469,0-5100,5080-6703,6702-7509
AB972468,0-5100,5080-6703,6702-7509
AB972467,0-5100,5080-6703,6702-7509
AB972466,0-5100,5080-6703,6702-7509
AB972465,0-5100,5080-6703,6702-7509
KU311163,2-5093,5073-6693,6692-7499
KU311162,2-5093,5073-6693,6692-7499
KU311161,2-5390,5373-6990,6989-7637
KU311158,0-5091,5071-6694,6693-7500
KF509946,2-5093,5073-6696,6695-7502
KT380915,4-5113,5093-6716,6715-7495
KF509947,1-5068,5048-6671,6670-7477
KT992790,4-5113,5093-6716,6715-7495
KT992789,4-5113,5093-6716,6715-7495
KT992788,3-5112,5092-6715,6714-7494
KT992787,3-5112,5092-6715,6714-7494
KT992786,3-5112,5092-6715,6714-7494
KT992785,3-5112,5092-6715,6714-7494
KT970377,4-5113,5093-6716,6715-7495
KT970376,4-5113,5093-6716,6715-7495
KT970375,4-5113,5093-6716,6715-7495
KT970374,4-5113,5093-6716,6715-7495
KT970373,4-5113,5093-6716,6715-7495
KT970372,4-5113,5093-6716,6715-7495
KT970371,4-5113,5093-6716,6715-7495
KT970370,4-5113,5093-6716,6715-7495
KT970369,4-5113,5093-6716,6715-7495
KT202798,4-5104,5084-6707,6706-7513
KT202797,4-5104,5084-6707,6706-7513
KT202796,4-5104,5084-6707,6706-7513
KT202795,4-5104,5084-6707,6706-7513
KT202794,4-5104,5084-6707,6706-7513
KT202793,4-5104,5084-6707,6706-7513
LC043168,1-5092,5072-6689,6688-7468
LC043167,1-5092,5072-6689,6688-7468
LC037415,1-5107,5087-6710,6709-7489
AB983218,1-5107,5087-6704,6703-7483
KR154231,0-5103,5083-6706,6705-7485
KR154230,0-5103,5083-6706,6705-7485
LN854563,4-5362,5345-6980,6979-7606
KT253245,4-5113,5093-6716,6715-7495
KJ407074,4-5101,5081-6710,6709-7489
KJ407072,4-5098,5078-6722,6721-7501
KJ407076,0-5100,5080-6700,6699-7506
